"gamma","state_code","n","pairs","pres","cohesion","cap6","pct_ceil","eq_min","n_tiny","disp_km"
0,"01",11,21,18,85.7142857142857,21,85.7142857142857,0.997401328728835,0,10.2838677064538
0.15,"01",11,21,18,85.7142857142857,21,85.7142857142857,0.83734133199383,0,8.67500928004233
0.3,"01",11,21,18,85.7142857142857,21,85.7142857142857,0.692520888443962,0,7.03651627252238
0.45,"01",11,21,18,85.7142857142857,21,85.7142857142857,0.567319694674505,0,5.4355985578608
0.6,"01",11,21,18,85.7142857142857,21,85.7142857142857,0.460292253919975,0,3.91060669997354
0.8,"01",11,21,18,85.7142857142857,21,85.7142857142857,0.448576129478207,0,2.58720704320349
1,"01",11,21,18,85.7142857142857,21,85.7142857142857,0.448418355220469,0,1.9229334089403
0,"02",6,8,6,75,8,75,0.990455959820063,0,144.681958551205
0.15,"02",6,8,6,75,8,75,0.68547646161475,0,113.580645675579
0.3,"02",6,8,6,75,8,75,0.453345136809224,0,84.5010509839123
0.45,"02",6,8,6,75,8,75,0.445140236146196,0,67.4883652579633
0.6,"02",6,8,6,75,8,75,0.444708541559806,0,58.5672877167322
0.8,"02",6,8,6,75,8,75,0.442691819537657,0,57.081740011655
1,"02",6,8,6,75,8,75,0.442875023533932,0,55.798613398681
0,"03",5,5,5,100,5,100,0.985904136713159,0,102.447638331673
0.15,"03",5,5,5,100,5,100,0.855293773920325,0,87.3600216389698
0.3,"03",5,5,5,100,5,100,0.705649460603842,0,72.6171247008727
0.45,"03",5,5,5,100,5,100,0.580467437917936,0,57.8364458753536
0.6,"03",5,5,5,100,5,100,0.468766021251121,0,43.3992375085999
0.8,"03",5,5,5,100,5,100,0.446262602306076,0,34.442370281856
1,"03",5,5,5,100,5,100,0.446674968588526,0,26.3360600553675
0,"04",12,21,18,85.7142857142857,21,85.7142857142857,0.987660738803777,0,43.4963200824776
0.15,"04",12,21,20,95.2380952380952,21,95.2380952380952,0.688853135609236,0,36.7653817352715
0.3,"04",12,21,20,95.2380952380952,21,95.2380952380952,0.46953900697777,0,29.9592600020309
0.45,"04",12,21,20,95.2380952380952,21,95.2380952380952,0.449786385141662,0,23.654604210582
0.6,"04",12,21,20,95.2380952380952,21,95.2380952380952,0.446002763516907,0,18.0588718868008
0.8,"04",12,21,20,95.2380952380952,21,95.2380952380952,0.445117370124715,0,15.0756748395482
1,"04",12,21,20,95.2380952380952,21,95.2380952380952,0.443902453609345,0,13.811096092399
0,"05",38,90,70,77.7777777777778,86,81.3953488372093,0.98491943849074,0,56.837176380502
0.15,"05",38,90,74,82.2222222222222,86,86.046511627907,0.709916959445125,0,50.3114418474731
0.3,"05",38,90,74,82.2222222222222,86,86.046511627907,0.493892555723567,0,42.8854382069678
0.45,"05",38,90,76,84.4444444444444,86,88.3720930232558,0.448077201650569,0,36.5875832684852
0.6,"05",38,90,75,83.3333333333333,86,87.2093023255814,0.450476827394624,0,31.0064388562666
0.8,"05",38,90,76,84.4444444444444,86,88.3720930232558,0.460366847257982,0,25.8866701739514
1,"05",38,90,76,84.4444444444444,86,88.3720930232558,0.478289889564932,0,22.7744580713434
0,"06",10,19,17,89.4736842105263,19,89.4736842105263,0.996356012036909,0,7.9168228575388
0.15,"06",10,19,18,94.7368421052632,19,94.7368421052632,0.911793375670177,0,6.9199051009922
0.3,"06",10,19,18,94.7368421052632,19,94.7368421052632,0.827603027748796,0,5.88166112614591
0.45,"06",10,19,18,94.7368421052632,19,94.7368421052632,0.747365713570927,0,4.81669481344526
0.6,"06",10,19,17,89.4736842105263,19,89.4736842105263,0.671259799879827,0,3.74676791472451
0.8,"06",10,19,17,89.4736842105263,19,89.4736842105263,0.576604380379927,0,2.41847656381455
1,"06",10,19,18,94.7368421052632,19,94.7368421052632,0.502657025689935,0,1.94513147164279
0,"07",124,320,242,75.625,287.5,84.1739130434783,0.987221784137708,0,45.8697497665096
0.15,"07",124,320,248,77.5,287.5,86.2608695652174,0.615898359193742,0,40.0366177273606
0.3,"07",124,320,255,79.6875,287.5,88.695652173913,0.44971553618418,0,34.4624594012498
0.45,"07",124,320,258,80.625,287.5,89.7391304347826,0.452431739258811,0,30.489194863364
0.6,"07",124,320,261,81.5625,287.5,90.7826086956522,0.468785938784346,0,28.3688173159715
0.8,"07",124,320,261,81.5625,287.5,90.7826086956522,0.50857329276927,0,27.4999746841165
1,"07",124,320,258,80.625,287.5,89.7391304347826,0.556971032116911,0,27.5257435267423
0,"08",67,173,142,82.0809248554913,158,89.873417721519,0.982627784390544,0,61.2384157097114
0.15,"08",67,173,145,83.8150289017341,158,91.7721518987342,0.74310733801969,0,53.0918871139966
0.3,"08",67,173,147,84.971098265896,158,93.0379746835443,0.543119026528708,0,44.3362277649722
0.45,"08",67,173,151,87.2832369942196,158,95.5696202531646,0.44335191783932,0,35.4331289217794
0.6,"08",67,173,151,87.2832369942196,158,95.5696202531646,0.443354147870462,0,29.2171601796267
0.8,"08",67,173,151,87.2832369942196,158,95.5696202531646,0.450891622926354,0,24.2468188681927
1,"08",67,173,151,87.2832369942196,158,95.5696202531646,0.47196557475777,0,21.3762115742873
0,"09",16,33,31,93.9393939393939,33,93.9393939393939,0.998025677699483,0,7.85826731953732
0.15,"09",16,33,31,93.9393939393939,33,93.9393939393939,0.851327217996498,0,6.87013230102629
0.3,"09",16,33,31,93.9393939393939,33,93.9393939393939,0.715165212190646,0,5.7994818602247
0.45,"09",16,33,30,90.9090909090909,33,90.9090909090909,0.591752287569964,0,4.66006427918759
0.6,"09",16,33,30,90.9090909090909,33,90.9090909090909,0.485410157132333,0,3.51447112172827
